date,mlp_wide_vote,wide_deep_vote,resnet_mlp_vote,mlp_small_vote,se_mlp_vote,stacked_gru_ln_vote,ensemble_vote_pred,Date,Close,High,Low,Open,Volume,forward_return_10,forward_return_15,forward_return_30,forward_return_60,close_diff_next_day,target_period,forward_binary_10,forward_binary_15,forward_binary_30,forward_binary_60,predicted_horizon_days,predicted_return
2022-07-29,3,3,3,3,3,3,3,2022-07-29,4130.2900390625,4140.14990234375,4079.219970703125,4087.330078125,4616360000,-0.035012760464111,-0.0232210964364941,0.0048364718013047,0.0876797820225854,11.66015625,3,0,0,0,1,10,-0.035012760464111
2022-08-01,3,3,3,3,3,3,3,2022-08-01,4118.6298828125,4144.9501953125,4096.02001953125,4112.3798828125,4202810000,-0.0415416412373645,-0.0046786846913436,0.0472806003464798,0.0672486060689261,27.43994140625,3,0,0,0,1,10,-0.0415416412373645
2022-08-02,3,3,3,3,3,3,3,2022-08-02,4091.18994140625,4140.47021484375,4079.81005859375,4104.2099609375,4727710000,-0.0497097101638303,-0.0090923938451015,0.0367915771326814,0.0680284647592008,-63.97998046875,3,0,0,0,1,10,-0.0497097101638303
2022-08-03,0,0,0,0,0,0,0,2022-08-03,4155.169921875,4167.66015625,4107.9599609375,4107.9599609375,4351760000,-0.0278121206402113,0.0034775904664658,0.0650594839902303,0.091369177260917,3.22998046875,3,0,0,0,1,60,0.091369177260917
2022-08-04,0,0,0,0,0,0,0,2022-08-04,4151.93994140625,4161.2900390625,4135.419921875,4154.85009765625,4283320000,-0.030767573605681,-0.0112357290252631,0.0719303177528623,0.0643106947968745,6.75,2,0,0,1,0,60,0.0643106947968745
2022-08-05,3,3,3,3,3,3,3,2022-08-05,4145.18994140625,4151.580078125,4107.31005859375,4115.8701171875,4085940000,-0.0196973946778072,0.0215715538494631,0.062899224230652,0.0705607886186499,5.1298828125,3,0,0,0,1,10,-0.0196973946778072
2022-08-08,0,0,0,0,0,0,0,2022-08-08,4140.06005859375,4186.6201171875,4128.97021484375,4155.93017578125,4221090000,0.0005002003633443,0.0271546858303997,0.0736865378755036,0.0736391571137098,17.58984375,2,0,0,1,0,60,0.0736391571137098
2022-08-09,0,0,0,0,0,0,0,2022-08-09,4122.47021484375,4137.2998046875,4112.08984375,4133.10986328125,3913090000,-0.0015161479812465,0.0341958942290008,0.0877431216938544,0.0964920722430127,-87.77001953125,3,0,0,0,1,60,0.0964920722430127
2022-08-10,0,0,0,0,0,0,0,2022-08-10,4210.240234375,4211.02978515625,4177.259765625,4181.02001953125,4546010000,0.0167771246691006,0.0645360896017699,0.1203436532071282,0.1318185096755728,2.97021484375,3,0,0,0,1,60,0.1318185096755728
2022-08-11,2,2,2,2,2,2,2,2022-08-11,4207.27001953125,4257.91015625,4201.41015625,4227.39990234375,4630200000,0.0019408595411194,0.060607261670172,0.1391844108763726,0.1158239421430982,-72.8798828125,2,0,0,1,0,15,0.060607261670172
2022-08-12,2,2,2,2,2,2,2,2022-08-12,4280.14990234375,4280.47021484375,4219.77978515625,4225.02001953125,3788010000,0.054832094126566,0.0906896820527904,0.1710268168338828,0.1243432403709619,-16.990234375,2,0,0,1,0,15,0.0906896820527904
2022-08-15,2,2,2,2,2,2,2,2022-08-15,4297.14013671875,4301.7900390625,4256.89990234375,4269.3701171875,3696830000,0.0661264727159027,0.0995218249736724,0.1781734083926287,0.122522606752488,-8.06005859375,2,0,0,1,0,15,0.0995218249736724
2022-08-16,2,2,2,2,2,2,2,2022-08-16,4305.2001953125,4325.27978515625,4277.77001953125,4290.4599609375,4329820000,0.0800370005814183,0.0817438932793377,0.157610606525699,0.1484913225049422,31.16015625,2,0,0,1,0,15,0.0817438932793377
2022-08-17,2,2,2,2,2,2,2,2022-08-17,4274.0400390625,4302.18017578125,4253.080078125,4280.39990234375,3885030000,0.0806675193584069,0.0668617266304811,0.1740352409051753,0.0802932770356745,-9.7001953125,2,0,0,1,0,15,0.0668617266304811
2022-08-18,2,2,2,2,2,2,2,2022-08-18,4283.740234375,4292.52978515625,4261.97998046875,4273.1298828125,3340330000,0.0798845756500805,0.0531991565138989,0.1946999666364806,0.0728313062620875,55.26025390625,2,0,0,1,0,15,0.0531991565138989
2022-08-19,2,2,2,2,2,2,2,2022-08-19,4228.47998046875,4266.31005859375,4218.7001953125,4266.31005859375,3761340000,0.0775228883779528,0.0287245845865822,0.149533920463396,0.0685400165440015,90.48974609375,2,0,0,1,0,15,0.0287245845865822
2022-08-22,2,2,2,2,2,2,2,2022-08-22,4137.990234375,4195.080078125,4129.85986328125,4195.080078125,3907430000,0.0587996736120923,0.0522035288892719,0.0915501760762367,0.0366408185478204,9.26025390625,2,0,0,1,0,15,0.0522035288892719
2022-08-23,2,2,2,2,2,2,2,2022-08-23,4128.72998046875,4159.77001953125,4124.02978515625,4133.08984375,3823520000,0.0374031963099454,0.0463049942222466,0.0913096436152725,0.0429272428518321,-12.0400390625,2,0,0,1,0,15,0.0463049942222466
2022-08-24,2,2,2,2,2,2,2,2022-08-24,4140.77001953125,4156.56005859375,4119.97021484375,4126.5498046875,3583630000,0.0335956173180436,0.0613684790859534,0.105821306317813,0.0492099342349046,-58.35009765625,2,0,0,1,0,15,0.0613684790859534
2022-08-25,2,2,2,2,2,2,2,2022-08-25,4199.1201171875,4200.5400390625,4147.58984375,4153.259765625,3566870000,0.0323944785526113,0.0841110962637627,0.1537122199842808,0.0589558585430776,141.460205078125,2,0,0,1,0,15,0.0841110962637627
