date,mlp_wide_vote,wide_deep_vote,resnet_mlp_vote,mlp_small_vote,se_mlp_vote,stacked_gru_ln_vote,ensemble_vote_pred,Date,Close,High,Low,Open,Volume,forward_return_10,forward_return_15,forward_return_30,forward_return_60,close_diff_next_day,target_period,forward_binary_10,forward_binary_15,forward_binary_30,forward_binary_60,predicted_horizon,predicted_return,signal,win
2012-10-11,3,0,0,0,0,0,0,2012-10-11,1432.8399658203125,1443.9000244140625,1432.8199462890625,1432.8199462890625,3672540000,-1.98699951171875,-1.0386637369791667,-1.1300008138020834,0.6546671549479167,4.25,3,0,0,0,1,10,-1.98699951171875,1,0
2012-10-12,0,0,0,0,0,0,0,2012-10-12,1428.5899658203125,1438.4300537109375,1425.530029296875,1432.8399658203125,3134750000,-1.66500244140625,-0.013330078125,-0.6219970703125,0.724334716796875,-11.5400390625,3,0,0,0,1,10,-1.66500244140625,1,0
2012-10-15,3,3,3,3,3,3,3,2012-10-15,1440.1300048828125,1441.31005859375,1427.239990234375,1428.75,3483810000,-2.7969970703125,-3.039998372395833,-0.8060017903645833,0.50916748046875,-14.7900390625,3,0,0,0,1,60,0.50916748046875,1,1
2012-10-16,3,3,2,3,3,3,3,2012-10-16,1454.9200439453125,1455.510009765625,1440.31005859375,1440.31005859375,3568770000,-2.7330078125,-5.1606689453125,-1.2913330078125,0.29033203125,-5.989990234375,3,0,0,0,1,60,0.29033203125,1,1
2012-10-17,3,3,3,3,3,3,3,2012-10-17,1460.9100341796875,1462.199951171875,1453.3499755859375,1454.219970703125,3655320000,-4.67100830078125,-5.40400390625,-1.71500244140625,0.1953328450520833,3.570068359375,3,0,0,0,1,60,0.1953328450520833,1,1
2012-10-18,3,3,3,3,3,3,3,2012-10-18,1457.3399658203125,1464.02001953125,1452.6300048828125,1460.93994140625,3880030000,-4.00799560546875,-5.153995768229167,-1.67633056640625,0.3933329264322917,24.1500244140625,3,0,0,0,1,60,0.3933329264322917,1,1
2012-10-19,3,3,3,3,3,3,3,2012-10-19,1433.18994140625,1457.3399658203125,1429.8499755859375,1457.3399658203125,3875170000,-0.47999267578125,-3.910660807291667,-0.7969970703125,0.879833984375,-0.6300048828125,3,0,0,0,1,60,0.879833984375,1,1
2012-10-22,3,3,3,3,3,3,3,2012-10-22,1433.8199462890625,1435.4599609375,1422.06005859375,1433.2099609375,3216220000,-3.92899169921875,-5.2219970703125,-0.6626668294270833,0.9790018717447916,20.7099609375,3,0,0,0,1,60,0.9790018717447916,1,1
2012-10-23,3,3,3,3,3,3,3,2012-10-23,1413.1099853515625,1433.739990234375,1407.56005859375,1433.739990234375,3587670000,-3.55999755859375,-3.985335286458333,0.16533203125,1.3616678873697916,4.3599853515625,3,0,0,0,1,60,1.3616678873697916,1,1
2012-10-24,0,3,0,3,3,0,3,2012-10-24,1408.75,1420.0400390625,1407.0999755859375,1413.199951171875,3385970000,-2.89000244140625,-3.2579996744791666,0.3266682942708333,1.4344991048177085,-4.219970703125,3,0,0,0,1,60,1.4344991048177085,1,1
2012-10-25,3,3,3,3,3,0,3,2012-10-25,1412.969970703125,1421.1199951171875,1405.1400146484375,1409.739990234375,3512640000,-3.293994140625,-1.7386637369791669,0.49566650390625,1.4998331705729169,1.030029296875,3,0,0,0,1,60,1.4998331705729169,1,1
2012-10-26,3,3,3,3,3,0,3,2012-10-26,1411.93994140625,1417.0899658203125,1403.280029296875,1412.969970703125,3284910000,-3.7409912109375,-1.6086588541666669,0.5513346354166667,1.4706685384114584,-0.2200927734375,3,0,0,0,1,60,1.4706685384114584,1,1
2012-10-31,0,0,0,0,0,0,0,2012-10-31,1412.1600341796875,1418.760009765625,1405.949951171875,1410.989990234375,3577110000,-5.66700439453125,-1.4086669921875,0.2429972330729166,1.59466552734375,-15.429931640625,3,0,0,0,1,10,-5.66700439453125,1,0
2012-11-01,3,3,0,3,0,0,3,2012-11-01,1427.5899658203125,1428.3499755859375,1412.199951171875,1412.199951171875,3929890000,-7.4260009765625,-1.2293294270833333,-0.4670003255208333,1.2394999186197917,13.3900146484375,3,0,0,0,1,60,1.2394999186197917,1,1
2012-11-02,0,0,0,0,0,0,0,2012-11-02,1414.199951171875,1434.27001953125,1412.9100341796875,1427.5899658203125,3732480000,-5.43199462890625,-0.5273274739583333,0.5386678059895833,1.3985005696614583,-3.06005859375,3,0,0,0,1,10,-5.43199462890625,1,0
2012-11-05,0,0,0,0,0,0,0,2012-11-05,1417.260009765625,1419.9000244140625,1408.1300048828125,1414.02001953125,2921040000,-3.03699951171875,-1.221337890625,0.9843343098958334,1.5985005696614585,-11.1300048828125,3,0,0,0,1,10,-3.03699951171875,1,0
2012-11-06,3,3,3,3,3,0,3,2012-11-06,1428.3900146484375,1433.3800048828125,1417.260009765625,1417.260009765625,3306970000,-4.05799560546875,-1.2306640625,0.2473347981770833,1.1219991048177085,33.8599853515625,3,0,0,0,1,60,1.1219991048177085,1,1
2012-11-07,3,3,3,3,3,0,3,2012-11-07,1394.530029296875,1428.27001953125,1388.1400146484375,1428.27001953125,4356490000,-0.35,1.4279947916666669,1.6386637369791666,1.9460001627604169,17.02001953125,3,0,0,0,1,60,1.9460001627604169,1,1
2012-11-08,2,2,0,0,0,0,0,2012-11-08,1377.510009765625,1401.22998046875,1377.510009765625,1394.530029296875,3779520000,3.16400146484375,2.5780029296875,1.7546671549479167,2.243499755859375,-2.3399658203125,0,1,0,0,0,10,3.16400146484375,1,1
2012-11-09,3,3,0,3,3,0,3,2012-11-09,1379.8499755859375,1391.3900146484375,1373.030029296875,1377.550048828125,3647350000,2.64400634765625,1.9739990234375,1.5603352864583333,2.1590006510416666,-0.1800537109375,0,1,0,0,0,60,2.1590006510416666,1,1
2012-11-12,3,3,0,3,3,0,3,2012-11-12,1380.030029296875,1384.8699951171875,1377.18994140625,1379.8599853515625,2567540000,1.8909912109375,1.8013346354166666,1.3266642252604166,2.298333740234375,5.5,3,0,0,0,1,60,2.298333740234375,1,1
2012-11-13,3,3,3,3,3,0,3,2012-11-13,1374.530029296875,1388.81005859375,1371.3900146484375,1380.030029296875,3455550000,3.54000244140625,2.316666666666667,1.45233154296875,2.3746663411458333,19.0400390625,0,1,0,0,0,60,2.3746663411458333,1,1
2012-11-14,0,0,0,0,0,0,0,2012-11-14,1355.489990234375,1380.1300048828125,1352.5,1374.6400146484375,4109510000,6.04599609375,3.896663411458333,1.5646687825520833,2.7323343912760416,2.1600341796875,0,1,0,0,0,10,6.04599609375,1,1
2012-11-15,0,0,0,0,0,0,0,2012-11-15,1353.3299560546875,1360.6199951171875,1348.050048828125,1355.4100341796875,3928870000,6.285009765625,4.315999348958333,2.428666178385417,2.783333333333333,-6.550048828125,0,1,0,0,0,10,6.285009765625,1,1
2012-11-16,0,0,0,0,0,0,0,2012-11-16,1359.8800048828125,1362.030029296875,1343.3499755859375,1353.3599853515625,4045910000,4.95799560546875,3.9113362630208335,3.4180013020833333,2.691666666666667,-27.010009765625,0,1,0,0,0,10,4.95799560546875,1,1
2012-11-19,0,1,0,0,0,0,0,2012-11-19,1386.8900146484375,1386.8900146484375,1359.8800048828125,1359.8800048828125,3374800000,2.01600341796875,2.729996744791667,2.415999348958333,2.2150004069010416,-0.9200439453125,1,0,1,0,0,10,2.01600341796875,1,1
2012-11-20,0,0,0,0,0,0,0,2012-11-20,1387.81005859375,1389.77001953125,1377.0400390625,1386.8199462890625,3207160000,2.1469970703125,2.711328125,2.6219970703125,2.385498046875,-3.219970703125,1,0,1,0,0,10,2.1469970703125,1,1
2012-11-21,0,0,0,0,0,0,0,2012-11-21,1391.030029296875,1391.25,1386.3900146484375,1387.7900390625,2667090000,2.2909912109375,1.8946614583333332,2.36199951171875,2.01533203125,-18.1199951171875,2,0,0,1,0,10,2.2909912109375,1,1
2012-11-23,0,0,0,0,0,0,0,2012-11-23,1409.1500244140625,1409.1600341796875,1391.030029296875,1391.030029296875,1504960000,0.8919921875,0.2953287760416667,1.6,1.5545003255208334,2.8599853515625,2,0,0,1,0,10,0.8919921875,1,1
2012-11-26,3,2,2,3,3,3,3,2012-11-26,1406.2900390625,1409.1500244140625,1397.6800537109375,1409.1500244140625,2948960000,1.2260009765625,1.6046630859375,1.8243326822916663,1.821832275390625,7.35009765625,2,0,0,1,0,60,1.821832275390625,1,1
2012-11-27,0,0,0,0,0,0,0,2012-11-27,1398.93994140625,1409.010009765625,1398.030029296875,1406.2900390625,3323120000,2.89000244140625,3.1900065104166666,2.4393351236979166,1.4818339029947916,-10.9901123046875,1,0,1,0,0,10,2.89000244140625,1,1
2012-11-28,3,2,2,3,3,3,3,2012-11-28,1409.9300537109375,1410.31005859375,1385.4300537109375,1398.77001953125,3359250000,1.85499267578125,1.7253336588541666,2.07066650390625,1.450164794921875,-6.0198974609375,2,0,0,1,0,60,1.450164794921875,1,1
2012-11-29,3,2,2,3,3,3,3,2012-11-29,1415.949951171875,1419.699951171875,1409.0400390625,1409.9599609375,3356850000,0.35,1.8493326822916667,1.8243367513020836,1.667333984375,-0.2301025390625,1,0,1,0,0,60,1.667333984375,1,1
2012-11-30,3,2,2,3,3,3,3,2012-11-30,1416.1800537109375,1418.8599853515625,1411.6300048828125,1415.949951171875,3966000000,-0.260009765625,0.9313313802083332,1.8719970703125,1.6416666666666666,6.7200927734375,2,0,0,1,0,60,1.6416666666666666,1,1
2012-12-03,3,2,2,3,3,3,3,2012-12-03,1409.4599609375,1423.72998046875,1408.4599609375,1416.3399658203125,3074280000,2.09000244140625,1.1466715494791666,2.105668131510417,1.8123331705729169,2.409912109375,2,0,0,1,0,60,1.8123331705729169,1,1
2012-12-04,3,3,2,3,3,3,3,2012-12-04,1407.050048828125,1413.1400146484375,1403.6500244140625,1409.4599609375,3247710000,3.9739990234375,0.8519938151041667,2.462996419270833,1.9691650390625,-2.22998046875,0,1,0,0,0,60,1.9691650390625,1,1
2012-12-05,3,3,3,3,3,3,3,2012-12-05,1409.280029296875,1415.56005859375,1398.22998046875,1407.050048828125,4253920000,2.6530029296875,0.5879964192708333,2.5566650390625,2.1751668294270834,-4.659912109375,0,1,0,0,0,60,2.1751668294270834,1,1
2012-12-06,3,3,2,3,3,3,3,2012-12-06,1413.93994140625,1413.949951171875,1405.9300537109375,1409.4300537109375,3229700000,2.975,-0.7673258463541667,2.6206705729166666,2.1253336588541667,-4.1300048828125,0,1,0,0,0,60,2.1253336588541667,1,1
2012-12-07,3,2,2,3,3,3,3,2012-12-07,1418.0699462890625,1420.3399658203125,1410.9000244140625,1413.949951171875,3125160000,1.2080078125,0.5413330078125,2.5580037434895835,2.103167724609375,-0.4801025390625,2,0,0,1,0,60,2.103167724609375,1,1
2012-12-10,0,0,0,0,0,0,0,2012-12-10,1418.550048828125,1421.6400146484375,1415.6400146484375,1418.0699462890625,2999430000,0.81099853515625,2.924666341145833,2.5423299153645837,2.2105000813802085,-9.2899169921875,1,0,1,0,0,10,0.81099853515625,1,1
2012-12-11,0,0,0,0,0,0,0,2012-12-11,1427.8399658203125,1434.27001953125,1418.550048828125,1418.550048828125,3650230000,-0.8010009765625,2.102001953125,2.5039998372395837,2.139666748046875,-0.6400146484375,2,0,0,1,0,10,-0.8010009765625,1,0
2012-12-12,0,3,0,0,0,0,0,2012-12-12,1428.47998046875,1438.5899658203125,1426.760009765625,1427.8399658203125,3709050000,-1.03800048828125,2.532666015625,2.39000244140625,2.066666666666667,9.030029296875,1,0,1,0,0,10,-1.03800048828125,1,0
2012-12-13,0,0,0,0,0,0,0,2012-12-13,1419.449951171875,1431.3599853515625,1416.0,1428.47998046875,3349960000,-1.70198974609375,2.829337565104167,2.946333821614583,2.251167805989583,5.8699951171875,2,0,0,1,0,10,-1.70198974609375,1,0
2012-12-14,0,0,0,0,0,0,0,2012-12-14,1413.5799560546875,1419.449951171875,1411.8800048828125,1419.449951171875,3210170000,1.26099853515625,2.904671223958333,2.946000162760417,2.4941670735677084,-16.780029296875,2,0,0,1,0,10,1.26099853515625,1,1
2012-12-17,0,0,0,0,0,0,0,2012-12-17,1430.3599853515625,1430.6700439453125,1413.5400390625,1413.5400390625,3455610000,3.206005859375,2.0440022786458334,2.2583333333333333,2.172332763671875,-16.4300537109375,0,1,0,0,0,10,3.206005859375,1,1
2012-12-18,0,0,0,0,0,0,0,2012-12-18,1446.7900390625,1448.0,1430.469970703125,1430.469970703125,4302240000,1.25799560546875,1.6886637369791666,2.2126668294270835,1.7551656087239584,10.97998046875,2,0,0,1,0,10,1.25799560546875,1,1
2012-12-19,0,0,0,0,0,0,0,2012-12-19,1435.81005859375,1447.75,1435.800048828125,1446.7900390625,3869800000,3.0659912109375,2.415999348958333,1.9966634114583333,1.8754984537760415,-7.8798828125,0,1,0,0,0,10,3.0659912109375,1,1
2012-12-20,0,0,0,0,0,0,0,2012-12-20,1443.68994140625,1443.699951171875,1432.8199462890625,1435.81005859375,3686580000,1.82000732421875,1.7993408203125,2.2533365885416665,1.9170003255208332,13.5399169921875,2,0,0,1,0,10,1.82000732421875,1,1
2012-12-21,0,0,0,0,0,0,0,2012-12-21,1430.1500244140625,1443.6700439453125,1422.5799560546875,1443.6700439453125,5229160000,2.7,2.8126627604166665,2.7323323567708333,1.9275004069010415,3.489990234375,1,0,1,0,0,10,2.7,1,1
2012-12-24,0,0,0,0,0,0,0,2012-12-24,1426.6600341796875,1430.1500244140625,1424.6600341796875,1430.1500244140625,1248960000,3.43599853515625,3.0646647135416667,2.757666015625,2.1704996744791667,6.830078125,0,1,0,0,0,10,3.43599853515625,1,1
2012-12-26,0,0,0,0,0,0,0,2012-12-26,1419.8299560546875,1429.4200439453125,1416.4300537109375,1426.6600341796875,2285030000,5.22900390625,4.0739990234375,3.270003255208333,2.1976664225260416,1.72998046875,0,1,0,0,0,10,5.22900390625,1,1
2012-12-27,0,0,0,0,0,0,0,2012-12-27,1418.0999755859375,1422.800048828125,1401.800048828125,1419.8299560546875,2830180000,5.39500732421875,4.525333658854167,3.2970011393229166,2.427834065755208,15.669921875,0,1,0,0,0,10,5.39500732421875,1,1
2012-12-28,0,0,0,0,0,0,0,2012-12-28,1402.4300537109375,1418.0999755859375,1401.5799560546875,1418.0999755859375,2426680000,6.825,6.0086669921875,3.9,2.673665364583333,-23.7598876953125,0,1,0,0,0,10,6.825,1,1
2012-12-31,0,0,0,0,0,0,0,2012-12-31,1426.18994140625,1426.739990234375,1398.1099853515625,1402.4300537109375,3204330000,4.61500244140625,4.574674479166666,3.13800048828125,2.3833333333333333,-36.2301025390625,0,1,0,0,0,10,4.61500244140625,1,1
2013-01-02,0,0,0,0,0,0,0,2013-01-02,1462.4200439453125,1462.4300537109375,1426.18994140625,1426.18994140625,4202600000,1.02099609375,2.159993489583333,1.96533203125,1.6625,3.050048828125,1,0,1,0,0,10,1.02099609375,1,1
2013-01-03,0,0,0,0,0,0,0,2013-01-03,1459.3699951171875,1465.469970703125,1455.530029296875,1462.4200439453125,3829730000,2.15699462890625,2.905997721354167,2.01400146484375,1.8480000813802084,-7.0999755859375,1,0,1,0,0,10,2.15699462890625,1,1
2013-01-04,0,0,0,0,0,0,0,2013-01-04,1466.469970703125,1467.93994140625,1458.989990234375,1459.3699951171875,3424290000,1.9510009765625,2.2473388671875,2.1489990234375,1.4536661783854166,4.5799560546875,1,0,1,0,0,10,1.9510009765625,1,1
2013-01-07,0,0,0,0,0,0,0,2013-01-07,1461.8900146484375,1466.469970703125,1456.6199951171875,1466.469970703125,3304970000,3.06700439453125,3.063330078125,1.66866455078125,1.634832763671875,4.739990234375,0,1,0,0,0,10,3.06700439453125,1,1
2013-01-08,0,0,0,0,0,0,0,2013-01-08,1457.1500244140625,1461.8900146484375,1451.6400146484375,1461.8900146484375,3601600000,3.76600341796875,2.9873291015625,1.5090006510416667,1.602166748046875,-3.8699951171875,0,1,0,0,0,10,3.76600341796875,1,1
2013-01-09,0,0,0,0,0,0,0,2013-01-09,1461.02001953125,1464.72998046875,1457.1500244140625,1457.1500244140625,3674390000,3.37999267578125,2.472664388020833,1.8193318684895836,1.7008321126302084,-11.0999755859375,0,1,0,0,0,10,3.37999267578125,1,1
2013-01-10,0,0,0,0,0,0,0,2013-01-10,1472.1199951171875,1472.300048828125,1461.02001953125,1461.02001953125,4081840000,3.08399658203125,2.736669921875,0.5243326822916666,1.60816650390625,0.0699462890625,0,1,0,0,0,10,3.08399658203125,1,1
2013-01-11,0,0,0,0,0,0,0,2013-01-11,1472.050048828125,1472.75,1467.5799560546875,1472.1199951171875,3340650000,2.81300048828125,1.5773274739583334,0.8296630859375,1.9279988606770837,1.3699951171875,0,1,0,0,0,10,2.81300048828125,1,1
2013-01-14,0,0,0,0,0,0,0,2013-01-14,1470.6800537109375,1472.050048828125,1465.68994140625,1472.050048828125,3003010000,3.7159912109375,2.7073323567708334,1.5103312174479169,2.0448323567708333,-1.659912109375,0,1,0,0,0,10,3.7159912109375,1,1
2013-01-15,0,0,0,0,0,0,0,2013-01-15,1472.3399658203125,1473.31005859375,1463.760009765625,1470.6700439453125,3135350000,2.96199951171875,2.652001953125,1.4113362630208333,1.94183349609375,-0.2900390625,0,1,0,0,0,10,2.96199951171875,1,1
