date,voting_prediction,voting_confidence,voting_class,prob_60day,prob_30day,prob_15day,prob_10day,actual_return_60day,actual_return_30day,actual_return_15day,actual_return_10day,return_immediate,return_with_critic
105,15-day,0.9743517438570658,2,0.008635537388424,0.0089222263971654,0.9743517438570658,0.0080905016123627,1.0278571,2.1707516,1.7824588,1.2216405,1.7824588,1.7824588
106,15-day,0.9674586355686188,2,0.0120342612499371,0.0124924038536846,0.9674586355686188,0.008014681263982,1.1542157,3.022905,2.349995,1.1850723,2.349995,2.349995
107,60-day,0.5382940669854482,0,0.5382940669854482,0.2603369131684303,0.1669559963047504,0.0344130049149195,0.74341655,2.4810832,1.260568,-0.1918687,0.74341655,0.74341655
108,15-day,0.9765867590904236,2,0.0062057621447214,0.0062811003881506,0.9765867590904236,0.0109263945535834,0.4773713,2.4781222,1.3815163,0.95687664,1.3815163,1.3815163
109,15-day,0.965838889280955,2,0.0109570370599006,0.0127744326600804,0.965838889280955,0.0104295991671582,0.25751993,2.3229883,1.5430977,0.5086041,1.5430977,1.5430977
110,30-day,0.9431298772493998,1,0.0530127849197015,0.9431298772493998,0.001226667848338,0.0026306604074003,0.16080928,1.6700712,1.559259,0.6174987,1.6700712,1.6700712
111,60-day,0.5375566482543945,0,0.5375566482543945,0.3632653976480166,0.072809693403542,0.0263682468018184,0.39935526,2.1936693,2.0998447,0.93390846,0.39935526,0.39935526
112,60-day,0.6355656236410141,0,0.6355656236410141,0.2729005453487237,0.0662242234684526,0.0253096013329923,0.28051633,1.4794348,2.0891204,0.38908225,0.28051633,0.28051633
113,60-day,0.5873951514561971,0,0.5873951514561971,0.3061292693018913,0.0832175131266315,0.0232580434530973,-0.1564702,1.1880633,2.0361001,0.61145633,-0.1564702,-0.1564702
114,60-day,0.5934679309527079,0,0.5934679309527079,0.285881961385409,0.0972772392754753,0.0233728809592624,0.08228857,1.6587965,2.0011928,1.7246289,0.08228857,0.08228857
115,60-day,0.6393250922362009,0,0.6393250922362009,0.2413662473360697,0.1000930573791265,0.0192156159318983,0.18120515,1.9401014,2.7578979,2.209495,0.18120515,0.18120515
116,60-day,0.5609817703564962,0,0.5609817703564962,0.2578435416022936,0.1457582103709379,0.035416482326885,0.61199635,1.7795273,3.6037772,3.28292,0.61199635,0.61199635
117,60-day,0.5789150794347128,0,0.5789150794347128,0.2572379410266876,0.1374870960911115,0.0263598702537516,0.9462776,1.7547945,3.1816103,3.9918308,0.9462776,0.9462776
118,60-day,0.6308583319187164,0,0.6308583319187164,0.2477921868364016,0.1000485755503177,0.0213008996409674,0.385783,0.62706876,1.1841947,2.5811193,0.385783,0.385783
119,60-day,0.588061253229777,0,0.588061253229777,0.2489072978496551,0.1399359765152136,0.0230954995689292,0.3325914,0.8239,1.3244008,2.0568435,0.3325914,0.3325914
